id,name,description
doc_spec_1,Allergy and Immunology,"Allergy and immunology is a subspecialty of internal medicine. An allergist-immunologist evaluates, diagnoses, and manages disorders involving the immune system. Such conditions include asthma, anaphylaxis, eczema, rhinitis, and reactions to drugs, foods, and insect stings."
doc_spec_2,Internal Medicine,"Internal medicine is a broad and versatile discipline that often serves as a preliminary specialty before physicians enter a wide range of other medical specialties or subspecialties."
doc_spec_3,Hospital Medicine,"Hospital medicine is a subspecialty, usually of internal medicine. A doctor of hospital medicine—a hospitalist—works exclusively in a hospital and provides general medical care to hospitalized patients."
